page,line_num,text,fontname,size,x0,x1,y0,y1
1,1,IMPLEMENTASI IMPROVED SQRT-COSINE SIMILARITY UNTUK PEMERINGKATAN RESUME BERDASARKAN KUALIFIKASI LOWONGAN KERJA ,BCDFEE+Calibri-Bold,15.960000000000036,136.94,490.30696,667.51,722.59
1,2,SKRIPSI ,BCDHEE+Calibri-Bold,14.039999999999964,289.97,336.84304000000003,626.35,640.39
1,3,Untuk memenuhi sebagian persyaratan memperoleh gelar Sarjana Komputer ,BCDEEE+Calibri,14.039999999999964,199.61,430.35304,568.12,599.3199999999999
1,4,Disusun oleh: Khansa Salsabila Sangdiva Laksono NIM: 215150201111068 ,BCDEEE+Calibri,14.039999999999964,213.53,413.40304000000003,502.24,550.48
1,5,TEKNIK INFORMATIKA DEPARTEMEN TEKNIK INFORMATIKA FAKULTAS ILMU KOMPUTER UNIVERSITAS BRAWIJAYA MALANG 2025 ,BCDEEE+Calibri,14.039999999999992,207.53,419.40304000000003,89.514,188.99
3,1,PERNYATAAN ORISINALITAS ,ATNDYS+Calibri-Bold,15.960000000000036,217.97,409.27696000000003,723.43,739.39
3,2,"Saya  menyatakan  dengan  sebenar-benarnya  bahwa  sepanjang  pengetahuan saya, di  dalam naskah skripsi ini tidak terdapat karya ilmiah yang pernah diajukan oleh orang lain untuk memperoleh gelar akademik di suatu perguruan  tinggi, dan tidak terdapat karya atau pendapat yang pernah ditulis atau diterbitkan oleh orang lain, kecuali  yang secara tertulis disitasi dalam naskah ini dan disebutkan dalam daftar referensi.  ",ASIZYU+Calibri,12.0,113.42,512.854,617.5,702.7
3,3,"Apabila ternyata didalam naskah skripsi ini dapat dibuktikan terdapat unsur- unsur plagiasi, saya bersedia skripsi ini digugurkan dan gelar akademik yang telah saya  peroleh  (sarjana)  dibatalkan,  serta  diproses  sesuai  dengan  peraturan perundang-undangan yang berlaku (UU No. 20 Tahun 2003, Pasal 25 ayat 2 dan Pasal 70).  ",ASIZYU+Calibri,12.0,113.42,512.762,538.15,608.86
3,4,"Malang, 3 Juli 2025 ",ASIZYU+Calibri,12.0,365.47,461.812,496.87,508.87
3,5,Khansa Salsabila Sangdiva Laksono ,ASIZYU+Calibri,12.0,329.47,500.692,393.65,405.65
3,6,NIM: 215150201111068 ,ASIZYU+Calibri,12.0,329.47,450.412,373.01,385.01
3,7,iii ,ASIZYU+Calibri,9.96,308.47,317.56096,47.669999999999995,57.629999999999995
4,1,PRAKATA ,BCDHEE+Calibri-Bold,15.960000000000036,280.25,347.11696,723.43,739.39
4,2,"Puji  syukur  penulis  panjatkan  ke  hadirat  Allah  SWT  yang  telah  melimpahkan rahmat  dan  hidayah-Nya  sehingga  penulis  dapat  menyelesaikan  skripsi  yang berjudul  “Implementasi  Improved  Sqrt-Cosine  Similarity  Untuk  Pemeringkatan Resume  Berdasarkan  Kualifikasi  Lowongan  Kerja”.  Penulis  menyadari  bahwa dalam  penyusunan  skripsi  tidak  terwujud  tanpa  adanya  dukungan,  bimbingan, arahan, serta doa yang tiada hentinya dari berbagai pihak. Pada kesempatan kali ini penulis mengucapkan terima kasih sebesar-besarnya kepada: ",BCDEEE+Calibri,12.0,113.42,512.938,602.86,702.7
4,3," 1. Bapak  Rizal  Setya Perdana,  S.Kom.,  M.Kom., Ph.D.  selaku  dosen  pembimbing satu  yang  telah  menyetujui  dan  mengarahkan  penulis  sehingga  dapat menyelesaikan skripsi ini. ",BCDKEE+ArialMT,12.0,113.42,513.028,552.91,594.6700000000001
4,4," 2. Ibu  Ir.  Indriati,  S.T.,  M.Kom.  selaku  dosen  pembimbing  dua  yang  telah menyetujui dan membimbing dalam penulisan untuk pengerjaan skripsi ini. ",BCDKEE+ArialMT,12.0,113.42,512.834,517.51,544.63
4,5," 3. Bapak Bayu Priyambadha, S.Kom., M.Kom., Ph.D. selaku Ketua Program Studi Teknik Informatika Fakultas Ilmu Komputer Universitas Brawijaya. ",BCDKEE+ArialMT,12.0,113.42,512.938,482.23,509.35
4,6," 4. Bapak Sabriansyah Rizqika Akbar, S.T., M.Eng., Ph.D. selaku Ketua Departemen Teknik Informatika Fakultas Ilmu Komputer Universitas Brawijaya. ",BCDKEE+ArialMT,12.0,113.42,513.016,446.95,474.07
4,7," 5. Rajiv  Maulana  selaku  validator  dalam  skripsi  ini,  serta  seluruh  rekan  kerja penulis  yang  telah  berkontribusi  dalam  memperluas  wawasan  dan pengetahuan penulis selama proses penelitian. ",BCDKEE+ArialMT,12.0,113.42,512.89,397.01,438.79
4,8," 6. Ayah Tripinto Laksono, S.Kom. dan Bunda Dian Laksono selaku kedua orang tua penulis, Sangkaisar Laksono selaku adik penulis, dan seluruh keluarga penulis yang  senantiasa  memberikan  dukungan,  doa,  dan  motivasi  sehingga  dapat menyelesaikan skripsi ini. ",BCDKEE+ArialMT,12.0,113.42,512.992,332.45,388.85
4,9, 7. P4OP  Dinas  Pendidikan  Jakarta  selaku  penyelenggara  beasiswa  KJMU  yang membantu penulis dalam menyelesaikan studi sarjana. ,BCDKEE+ArialMT,12.0,113.42,512.7079999999999,297.05,324.29
4,10," 8. Seluruh teman tercinta penulis hingga saat ini yang telah menjadi teman diskusi selama  proses  penelitian,  teman  seperjuangan,  serta  sumber  motivasi, terutama Salsabila Rachmayani, Kirana Alivia, Nathania Putri,  Aidah Az Zahra, Raditya  Atmaja,  Roiyan  Zain,  Ade  Arya,  Nadhira  Nurannisa,  Saqina  Salsabila, Ghania Tanziela, Gustav Ali, Emilia Putri, Farel Rakha, Aldiansyah, Dzaki Rafif, Bagas Antarino, Safia Putri, Rayshanda Yuwandina, Arkan, Alka, Faqih, Audrey, Aelissa, Dina, Kurnia, dan Zahra. ",BCDKEE+ArialMT,12.0,113.42,513.052,188.54,288.89000000000004
4,11,"Malang, 25 Juni 2025 ",BCDEEE+Calibri,12.0,340.27,446.332,147.26,159.26
4,12,Penulis ,BCDEEE+Calibri,12.0,340.27,378.022,105.98,117.98
4,13,khansalaksono@gmail.com ,BCDEEE+Calibri,12.0,340.27,476.212,85.344,97.344
4,14,iv ,BCDEEE+Calibri,9.96,308.47,317.56096,47.669999999999995,57.629999999999995
5,1,ABSTRAK ,BCDHEE+Calibri-Bold,15.960000000000036,281.09,346.27696000000003,723.43,739.39
5,2,"Khansa  Salsabila  Sangdiva  Laksono,  Implementasi  Improved  Sqrt-Cosine Similarity  Untuk  Pemeringkatan  Resume  Berdasarkan  Kualifikasi  Lowongan Kerja ",BCDHEE+Calibri-Bold,12.0,113.42,513.028,661.42,702.7
5,3,"Pembimbing: Rizal Setya Perdana, S.Kom., M.Kom., Ph.D. dan Indriati, Ir., S.T., M.Kom. ",BCDHEE+Calibri-Bold,12.0,113.42,512.908,626.14,652.78
5,4,"Ketidaksesuaian  antara  kualifikasi  pelamar  dengan  kebutuhan  penyedia lowongan  kerja  dapat  menjadi  salah  satu  penyebab  fenomena  pengangguran. Penelitian ini menggunakan pendekatan representasi teks TF-IDF dan Word2Vec untuk  implementasi  perhitungan  similaritas  Improved  Sqrt-Cosine  (ISC)  antara resume  dengan  kualifikasi  lowongan  kerja,  memeringkat  lima  resume  per kualifikasi lowongan kerja, dan dievaluasi hasilnya oleh seorang ahli dengan dua skenario  yang  melibatkan  pemberian  bobot  pada  setiap  section  dalam  resume. Hasil  penelitian  ini  menunjukkan  keunggulan  pada  Word2Vec  dengan  ISC  pada skenario  tanpa  bobot  section  dan  Word2Vec  dengan  Cosine  Similarity  pada skenario dengan bobot section. TF-IDF dengan ISC menunjukkan performa terbaik dalam  menghasilkan  lima  resume  yang  isiannya  relevan  dengan  deskripsi lowongan kerja. Meskipun implementasi ISC dengan representasi teks Word2Vec unggul  karena  masih  cukup  mampu  menangkap  hubungan  semantik  kata  kunci, tetap kurang disarankan karena mengaburkan hubungan semantik asli akibat nilai absolut.  Jika  preferensi  bobot  section  dapat  menimbulkan  bias  karena  kurang mencerminkan variasi preferensi rekruter pada umumnya, maka implementasi ISC dengan TF-IDF lebih disarankan untuk digunakan. ",BCDEEE+Calibri,12.0,113.42,513.04,371.09,617.5
5,5,"Kata kunci: similaritas resume, pemeringkatan, improved sqrt-cosine, spearman ",BCDEEE+Calibri,12.0,113.42,502.972,309.05,321.05
5,6,v ,BCDEEE+Calibri,9.96,309.55,316.36096000000003,47.669999999999995,57.629999999999995
6,1,ABSTRACT ,BCDHEE+Calibri-Bold,15.960000000000036,277.25,350.11696,723.43,739.39
6,2,"Khansa  Salsabila  Sangdiva  Laksono,  The  Implementation  of  Improved  Sqrt- Cosine Similarity for Resume Ranking Based on Job Vacancy Qualifications ",BCDHEE+Calibri-Bold,12.0,113.42,510.53200000000004,676.06,702.7
